Group	Tools	Tools_Values
Office	ADAPT	0
Office	ADAPT	0
Office	ADAPT	0
Office	ADAPT	0
Office	ADAPT	0
Office	ADAPT	0
Office	ADAPT	0
Office	ADAPT	0
Office	ADAPT	0
Office	ADAPT	0
Office	metagenomeSeq	0
Office	metagenomeSeq	0
Office	metagenomeSeq	0
Office	metagenomeSeq	0
Office	metagenomeSeq	0
Office	metagenomeSeq	0
Office	metagenomeSeq	0
Office	metagenomeSeq	0
Office	metagenomeSeq	0
Office	metagenomeSeq	0
Office	ALDEx2	0
Office	ALDEx2	0
Office	ALDEx2	0
Office	ALDEx2	0
Office	ALDEx2	0
Office	ALDEx2	0
Office	ALDEx2	0
Office	ALDEx2	0
Office	ALDEx2	0
Office	ALDEx2	0
Office	EdgeR	10
Office	EdgeR	11
Office	EdgeR	11
Office	EdgeR	10
Office	EdgeR	11
Office	EdgeR	10
Office	EdgeR	11
Office	EdgeR	10
Office	EdgeR	11
Office	EdgeR	10
Office	DESeq2	0
Office	DESeq2	0
Office	DESeq2	0
Office	DESeq2	0
Office	DESeq2	0
Office	DESeq2	0
Office	DESeq2	0
Office	DESeq2	0
Office	DESeq2	0
Office	DESeq2	0
Office	FiveTools_Intersect	0
Office	FiveTools_Intersect	0
Office	FiveTools_Intersect	0
Office	FiveTools_Intersect	0
Office	FiveTools_Intersect	0
Office	FiveTools_Intersect	0
Office	FiveTools_Intersect	0
Office	FiveTools_Intersect	0
Office	FiveTools_Intersect	0
Office	FiveTools_Intersect	0
Office	FiveTools_Union	10
Office	FiveTools_Union	11
Office	FiveTools_Union	11
Office	FiveTools_Union	10
Office	FiveTools_Union	11
Office	FiveTools_Union	10
Office	FiveTools_Union	11
Office	FiveTools_Union	10
Office	FiveTools_Union	11
Office	FiveTools_Union	10
Cold_Hot	ADAPT	0
Cold_Hot	ADAPT	0
Cold_Hot	ADAPT	0
Cold_Hot	ADAPT	0
Cold_Hot	ADAPT	0
Cold_Hot	ADAPT	0
Cold_Hot	ADAPT	0
Cold_Hot	ADAPT	0
Cold_Hot	ADAPT	0
Cold_Hot	ADAPT	0
Cold_Hot	metagenomeSeq	0
Cold_Hot	metagenomeSeq	0
Cold_Hot	metagenomeSeq	0
Cold_Hot	metagenomeSeq	0
Cold_Hot	metagenomeSeq	0
Cold_Hot	metagenomeSeq	0
Cold_Hot	metagenomeSeq	0
Cold_Hot	metagenomeSeq	0
Cold_Hot	metagenomeSeq	0
Cold_Hot	metagenomeSeq	0
Cold_Hot	ALDEx2	0
Cold_Hot	ALDEx2	0
Cold_Hot	ALDEx2	0
Cold_Hot	ALDEx2	0
Cold_Hot	ALDEx2	0
Cold_Hot	ALDEx2	0
Cold_Hot	ALDEx2	0
Cold_Hot	ALDEx2	0
Cold_Hot	ALDEx2	0
Cold_Hot	ALDEx2	0
Cold_Hot	EdgeR	4
Cold_Hot	EdgeR	3
Cold_Hot	EdgeR	6
Cold_Hot	EdgeR	4
Cold_Hot	EdgeR	5
Cold_Hot	EdgeR	5
Cold_Hot	EdgeR	4
Cold_Hot	EdgeR	5
Cold_Hot	EdgeR	4
Cold_Hot	EdgeR	5
Cold_Hot	DESeq2	0
Cold_Hot	DESeq2	0
Cold_Hot	DESeq2	1
Cold_Hot	DESeq2	0
Cold_Hot	DESeq2	1
Cold_Hot	DESeq2	1
Cold_Hot	DESeq2	0
Cold_Hot	DESeq2	0
Cold_Hot	DESeq2	0
Cold_Hot	DESeq2	0
Cold_Hot	FiveTools_Intersect	0
Cold_Hot	FiveTools_Intersect	0
Cold_Hot	FiveTools_Intersect	0
Cold_Hot	FiveTools_Intersect	0
Cold_Hot	FiveTools_Intersect	0
Cold_Hot	FiveTools_Intersect	0
Cold_Hot	FiveTools_Intersect	0
Cold_Hot	FiveTools_Intersect	0
Cold_Hot	FiveTools_Intersect	0
Cold_Hot	FiveTools_Intersect	0
Cold_Hot	FiveTools_Union	4
Cold_Hot	FiveTools_Union	4
Cold_Hot	FiveTools_Union	7
Cold_Hot	FiveTools_Union	4
Cold_Hot	FiveTools_Union	6
Cold_Hot	FiveTools_Union	6
Cold_Hot	FiveTools_Union	5
Cold_Hot	FiveTools_Union	5
Cold_Hot	FiveTools_Union	5
Cold_Hot	FiveTools_Union	6
