SampleID	Group
10423.17N6NBA2X70VP	toronto
10423.3NBEE3DA12HL7	toronto
10423.52KJ20MWHYTA3	sandiego
10423.3MNDIA2Q38NX4	sandiego
10423.40TE7J87ZC0XB	toronto
10423.6GPM8X2XQHFIU	sandiego
10423.1BY3BDSUSAFRG	sandiego
10423.1XZ5EDPEVW9VU	sandiego
10423.4SHEQ88NTOX9M	toronto
10423.5LPHB5LQ6ZEU4	sandiego
10423.19Q0DC5OBJ0V6	toronto
10423.6RZJ4BAP7ZJYO	sandiego
10423.5C2DKKQIT9ELP	toronto
10423.2UE36CRNVWGVY	sandiego
10423.7JNJN0B52CGAZ	sandiego
10423.6IKFOC70HJHMA	toronto
10423.5OOC7LJE6F6DP	toronto
10423.6APEALFYA10I3	toronto
10423.CHSHJ1AB9LA6	sandiego
10423.1YPXCRZWEKMJ5	toronto
10423.36S1IRT0LSARX	sandiego
10423.1PATWSW7O4K6R	toronto
10423.6ESAO277HUHHT	toronto
10423.19CQUPMKLTO2C	sandiego
10423.1N2QYR917D5AH	toronto
10423.105NPCAEINJLZ	toronto
10423.3FDUUWUKBZ4JF	sandiego
10423.3LOU6F900K0FF	toronto
10423.6151MLKOH5J8W	sandiego
10423.OIHBBJJBG2DB	toronto
10423.3JORIZDC72JF6	toronto
10423.V9H81H0AKU1D	toronto
10423.23BLE1A4HSIA5	sandiego
10423.1O9JID2K0LDPU	sandiego
10423.2AALLCZ4477U8	sandiego
10423.2WBNOCVO7T1YM	sandiego
10423.1UKITVGZP69LU	sandiego
10423.4PQT1JASKSQNP	toronto
10423.5IYVMGNUY3887	toronto
10423.4HNRD6S7Q0BNH	sandiego
10423.1TOHNGEX42I1Q	toronto
10423.3V6OOZCMBULR1	sandiego
10423.ZKDW3ZS5O8X4	sandiego
10423.1K1DWVJPQCHTB	sandiego
10423.3ZHLD1VE6Y0MS	toronto
10423.57BP8FWZQVQZJ	toronto
10423.2JCFIPJP4XXDS	toronto
10423.3Q2HX2RPGHYAE	sandiego
10423.5PKMB5TQUSKZG	sandiego
10423.6HONF2D7ZPD3T	sandiego
10423.2SE9G24A5OMXC	sandiego
10423.5U3J9U41D5XR8	sandiego
10423.3649K3QQR845H	toronto
10423.7GROQALOR0US9	toronto
10423.4SSF0K8E5316I	toronto
10423.24T5ATV3J57KR	toronto
10423.ONZGHJEH54BR	sandiego
10423.19T0D2DVZN6W1	toronto
10423.3BB7ELBL7FALC	sandiego
10423.66HHM95E31RN7	sandiego
10423.3OT7816J5OTXG	sandiego
10423.10TXIAT8JR0BP	sandiego
10423.5BHCOHO6JJQYH	sandiego
10423.5PVDOCL72X1UP	sandiego
10423.3934GJOEQNVP2	toronto
10423.37Z2ZIUTIA68X	sandiego
10423.3T9GJTQGGGQML	sandiego
10423.4MHJ4R3ITR873	toronto
10423.6FWOHXIN6QWW6	sandiego
10423.4D2FORZU3B5UP	toronto
10423.3Y8E3PJS9DZ6F	sandiego
10423.2A06L0PICLGX7	toronto
10423.4BIDMJN7KDKMI	sandiego
10423.18P2BQTV4IKCH	toronto
10423.1U23IXFVAAKSS	sandiego
10423.6JJKA6QV40I3U	sandiego
10423.3GQ8ZDXIO5HTT	toronto
10423.DWXOL468AHJS	sandiego
10423.53EEFUF620EUU	sandiego
10423.2FF4Q41VG2L93	sandiego
10423.20L351LTM5EKT	sandiego
10423.37Z6F84DVJ95I	toronto
10423.62PG1OF5GLUFB	sandiego
10423.5G8DDGZK2G4IV	toronto
10423.72WITXH7GB1JW	toronto
10423.4EX9473WUD7Y5	sandiego
10423.6FZFKIIKRLFVE	sandiego
10423.3KD4RN5QLF31H	sandiego
10423.35J36KPORHWD7	sandiego
10423.HJTGUCE5K2RG	toronto
10423.4KK7JW7SL4A62	toronto
10423.2AQYJEZZV9TKI	toronto
10423.7F2GVQR1IWXJU	sandiego
10423.4463WLF489I9L	toronto
10423.6ZCE498X3VZBG	toronto
10423.39TZUN8GMLB8Y	toronto
10423.1F2SPU88DXZ7P	sandiego
10423.213USU4SHJTC3	toronto
10423.3NS09AMFVEQD4	sandiego
10423.1T0T4HM7MREBV	toronto
10423.4GC1YEOYAVE9J	sandiego
10423.7BIC62IR6HVBE	sandiego
10423.1ZJSQLS5YM83W	sandiego
10423.5V5614FJH7U6D	toronto
10423.737A748NOFIF5	sandiego
10423.2D1SK1N3WVRG0	toronto
10423.7HDAWDE5KIVFC	sandiego
10423.2JSSGRKKW0J42	sandiego
10423.2CID5D8LXJAC	toronto
10423.1WFOM52WWR1NI	sandiego
10423.VCKNGYSBY2YT	toronto
10423.76U5ZDGVLP3MT	toronto
10423.18MK6B27MXOEW	toronto
10423.1UNM9AYRQJIJA	toronto
10423.4WCW32YIY0TD6	toronto
10423.5IDY62V31MNHK	toronto
10423.48ZS8GGUYRBWM	toronto
10423.1KSI84C1PJKEU	sandiego
10423.62EXLMVZBR0LP	sandiego
10423.513TCD0C3O40Z	toronto
10423.5N4VFCWW79Y5D	sandiego
10423.Q0DKYMCTBHM5	toronto
10423.A2AIVCPR0LHQ	sandiego
10423.3Y8N0US2CNM82	sandiego
10423.4K9P3UOMG9GCG	toronto
10423.2IBHH47VXXGV3	sandiego
10423.239FLG0BGQCAS	sandiego
10423.44RMMYY0OIG03	toronto
10423.FP8YKGLHRNPN	toronto
10423.1UYDMHQ7YNZEJ	sandiego
10423.2GZFPHMS29TIX	sandiego
10423.5C5PX5GKXWAKS	toronto
10423.54IOU0H1DNRCM	sandiego
10423.4PON8Y0ZJQKOC	sandiego
10423.3GQHWJ5SRF4VG	toronto
10423.DX6LQCGBK4LF	toronto
10423.5I8OY23HZ78KR	toronto
10423.3UOIB6JS08JZM	toronto
10423.3FEG4WKOVRHJA	sandiego
10423.6A4PRCVGGU2T3	toronto
10423.3M5G1MI5UW97C	toronto
10423.47QHJEVONY7JO	toronto
10423.1JR7TOIE20DXX	toronto
10423.14X68M2C8379N	sandiego
10423.79NRNSMYIPG9L	toronto
10423.3E1OQF6CQCSW	toronto
10423.797R2L3X85KHJ	toronto
10423.3YREONB1820ZC	toronto
10423.3CAC0FVFTWB2W	toronto
10423.34NAXAVW9NRUQ	toronto
10423.GO17KILNPY8Z	sandiego
10423.4C9EI35Z6BKBG	sandiego
10423.5KBIO2Z3DJ8K8	toronto
10423.7LLPF059Y1EDI	sandiego
10423.6RPLY9HNMX34X	toronto
10423.4VECR84SVC5VH	toronto
10423.6AVQMWE82S2I1	toronto
10423.3MWGX60XGU8WA	toronto
10423.382FC3KVMX280	toronto
10423.7B2TF5GA2H9MM	toronto
10423.1KA8EM9N0OFQU	toronto
10423.5NAMHO51G8N5G	toronto
10423.72BQUZN59V0YB	toronto
10423.1IQ6CDX0HQUIN	toronto
10423.4ZXIN1NDGZ5OW	sandiego
10423.2T0SNCU30P5O	toronto
10423.786PLAIJNW129	sandiego
10423.45DEAHP7810S8	toronto
10423.12K2ZOVUS60I7	toronto
10423.55KH2QR97Q7WT	sandiego
10423.2HL7D0DYLSEB2	sandiego
10423.766MXUMVUEK20	sandiego
10423.4I7D849L8GQG9	toronto
10423.1U83IDWAMIWUI	toronto
10423.103ZR1H5O4NPW	sandiego
10423.3MZ7ZR0V1ORVI	toronto
10423.YZYA0NKFQY9R	toronto
10423.5OHF19YK9GVKT	sandiego
10423.30I5BJL9NJ1Z2	toronto
10423.7PZM2SW9H8ZA4	sandiego
10423.6OOHTJ0M962PE	toronto
10423.40P83SNBN893N	toronto
10423.1CPYE2A11AFHW	toronto
10423.XVWSZTZ7D8TM	toronto
10423.627F5BL0V0CSY	sandiego
10423.6UZH51F1XQYLE	toronto
10423.71IGR5L09LSDF	toronto
10423.775F6UOW0CULC	sandiego
10423.3WP2SWW009B35	sandiego
10423.3OM14KDF5GW2X	sandiego
10423.2NAWVAHRXDZI7	toronto
10423.6QBAYCD6CY6WT	sandiego
10423.5A65401HAY3NT	toronto
10423.2M6VE9O6P0A22	toronto
10423.4NP2FSLVWSDRD	toronto
10423.3MDY6IQ8OPH6N	toronto
10423.4U821WRU8N7JE	toronto
10423.4AKPFXT4DEGA	toronto
10423.3ZNXPCTNZP2MQ	toronto
10423.7NUA7C90LC3D2	toronto
10423.34VT273Z3GZU1	toronto
10423.3HNPA6NUW0634	toronto
10423.7KO3D8J9BKDHQ	toronto
10423.28PJXRSO3OQA8	toronto
10423.7D12A3JPRBU9K	toronto
10423.4A7QZAQDBGTZJ	toronto
10423.4HERH86VL5HFN	toronto
10423.6XR03TKMMURT8	toronto
10423.S4DI7XXR4R96	toronto
10423.5HLU9H8XKUOK8	toronto
10423.59YT6C9E0M5C2	toronto
10423.3TTNBZXOYM232	toronto
10423.6A5VYLBG0BCGN	toronto
10423.1Z2G76XGPYQ1T	toronto
10423.73DYJIOIDLU15	toronto
10423.1CLDIZHVBT05D	toronto
10423.3SXM5KVMDIAIY	toronto
10423.X3B23R9K1ZT0	toronto
10423.61ETEFIB7P3SC	toronto
10423.7O2YUVZYLK0TD	toronto
10423.67HSFC58901SB	toronto
10423.34OH4JBVT51IA	toronto
10423.566O629L0X57L	toronto
10423.1228LZKLCZ8CU	toronto
10423.1SU7Y9IYM8D51	sandiego
10423.6IBOPITYFYAG3	sandiego
10423.CP23X79K89W1	sandiego
