Group	Tools	Tools_Values
percent0.05	FiveTools_Union	5
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	8
percent0.05	FiveTools_Union	8
percent0.05	FiveTools_Union	10
percent0.05	FiveTools_Union	5
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	6
percent0.05	FiveTools_Union	9
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	4
percent0.05	FiveTools_Union	8
percent0.05	FiveTools_Union	6
percent0.05	FiveTools_Union	10
percent0.05	FiveTools_Union	6
percent0.05	FiveTools_Union	5
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	3
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	9
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	6
percent0.05	FiveTools_Union	6
percent0.05	FiveTools_Union	3
percent0.05	FiveTools_Union	9
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	4
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	3
percent0.05	FiveTools_Union	5
percent0.05	FiveTools_Union	4
percent0.05	FiveTools_Union	6
percent0.05	FiveTools_Union	5
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	4
percent0.05	FiveTools_Union	9
percent0.05	FiveTools_Union	5
percent0.05	FiveTools_Union	5
percent0.05	FiveTools_Union	4
percent0.05	FiveTools_Union	9
percent0.05	FiveTools_Union	6
percent0.05	FiveTools_Union	8
percent0.05	FiveTools_Union	3
percent0.05	FiveTools_Union	8
percent0.05	FiveTools_Union	8
percent0.05	FiveTools_Union	8
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	6
percent0.05	FiveTools_Union	5
percent0.05	FiveTools_Union	10
percent0.05	FiveTools_Union	6
percent0.05	FiveTools_Union	6
percent0.05	FiveTools_Union	5
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	8
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	4
percent0.05	FiveTools_Union	8
percent0.05	FiveTools_Union	8
percent0.05	FiveTools_Union	9
percent0.05	FiveTools_Union	9
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	6
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	5
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	12
percent0.05	FiveTools_Union	5
percent0.05	FiveTools_Union	4
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	5
percent0.05	FiveTools_Union	9
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	6
percent0.05	FiveTools_Union	6
percent0.05	FiveTools_Union	4
percent0.05	FiveTools_Union	5
percent0.05	FiveTools_Union	8
percent0.05	FiveTools_Union	6
percent0.05	FiveTools_Union	5
percent0.05	FiveTools_Union	7
percent0.05	FiveTools_Union	5
percent0.05	FiveTools_Union	6
percent0.05	FiveTools_Union	12
percent0.05	FiveTools_Union	9
percent0.05	FiveTools_Union	5
percent0.05	FiveTools_Union	6
percent0.05	FiveTools_Union	5
percent0.05	FiveTools_Union	12
percent0.05	FiveTools_Union	8
percent0.05	FiveTools_Union	9
percent0.05	FiveTools_Union	4
percent0.05	FiveTools_Union	5
percent0.05	FiveTools_Union	4
percent0.05	FiveTools_Union	3
percent0.10	FiveTools_Union	15
percent0.10	FiveTools_Union	12
percent0.10	FiveTools_Union	12
percent0.10	FiveTools_Union	11
percent0.10	FiveTools_Union	16
