SampleID	Indv1	Indv2	Indv3	Indv4	Indv5	Indv6	Indv7	Indv8	Indv9	Indv10	Indv11	Indv12	Indv13	Indv14	Indv15	Indv16	Indv17	Indv18	Indv19	Indv20	Indv21	Indv22	Indv23	Indv24	Indv25	Indv26	Indv27	Indv28	Indv29	Indv30	Indv31	Indv32	Indv33	Indv34	Indv35	Indv36	Indv37	Indv38	Indv39	Indv40	Indv41	Indv42	Indv43	Indv44	Indv45	Indv46	Indv47	Indv48	Indv49	Indv50	Indv51	Indv52	Indv53	Indv54	Indv55	Indv56	Indv57	Indv58	Indv59	Indv60	Indv61	Indv62	Indv63	Indv64	Indv65	Indv66	Indv67	Indv68	Indv69	Indv70	Indv71	Indv72	Indv73	Indv74	Indv75	Indv76	Indv77	Indv78	Indv79	Indv80	Indv81	Indv82	Indv83	Indv84	Indv85	Indv86	Indv87	Indv88	Indv89	Indv90	Indv91	Indv92	Indv93	Indv94	Indv95	Indv96	Indv97	Indv98	Indv99	Indv100	Indv101	Indv102	Indv103	Indv104	Indv105	Indv106	Indv107	Indv108	Indv109	Indv110	Indv111	Indv112	Indv113	Indv114	Indv115	Indv116	Indv117	Indv118	Indv119	Indv120	Indv121	Indv122	Indv123	Indv124	Indv125	Indv126	Indv127	Indv128	Indv129	Indv130	Indv131	Indv132	Indv133	Indv134	Indv135	Indv136	Indv137	Indv138	Indv139	Indv140	Indv141	Indv142	Indv143	Indv144	Indv145	Indv146	Indv147	Indv148	Indv149	Indv150	Indv151	Indv152	Indv153	Indv154	Indv155	Indv156	Indv157	Indv158	Indv159	Indv160	Indv161
ASV1	3712	2202	1158	4701	710	756	1255	1753	1837	432	2947	284	2894	1571	610	4806	3461	772	2831	1990	1590	5414	1692	905	642	2188	1601	1506	1389	2781	1182	4694	7059	672	4722	2037	2611	1293	2556	2924	1785	692	651	2654	627	1509	2196	1659	1909	2958	3051	4082	2007	1200	5158	750	6413	2387	2800	2703	1361	2224	3424	825	651	1074	1103	3092	899	3620	4057	1621	1334	1010	11454	1412	876	1514	1962	946	3625	1351	1228	3018	1549	2425	852	589	5560	4895	3946	8406	3991	4219	5112	3432	3624	1780	3435	4221	5963	2757	2409	1699	934	445	557	1243	1391	1492	2696	1701	1960	1893	4172	7124	2418	2585	2103	6752	3905	3963	1818	1574	2675	1788	2898	6614	2025	4995	1366	3339	3032	1843	1903	5486	4096	2272	911	8328	4177	1189	1589	843	1279	1387	1050	941	684	2431	4968	1788	424	8133	12362	3153	3097	5715	5001	4837	6161
ASV2	2339	3567	1286	3001	1153	504	1145	529	1153	740	1542	2332	2029	1290	1303	1156	1134	1448	1487	2059	1266	3131	2881	2119	879	627	572	3413	1706	2428	1668	3123	1012	1084	8095	4170	1094	2585	1099	1288	482	231	1331	3723	3065	2391	5249	1512	3304	1322	5082	1375	1864	638	1574	1229	2103	2926	1334	2062	957	1971	2120	1856	584	3721	2653	767	66	2869	2890	1585	2279	452	508	422	1548	1004	712	1057	748	744	1853	2412	1236	2232	0	817	688	502	373	472	48	629	253	328	471	722	193	587	209	390	320	1697	1112	321	904	1673	1024	79	249	233	191	478	472	10	0	136	349	245	484	191	119	274	215	717	21	417	251	183	1398	156	552	263	229	271	477	587	1009	163	349	488	691	555	461	1051	584	692	1372	200	487	304	150	636	432	1270	198	845	872	539	249
ASV3	907	695	127	47	2653	728	1319	2479	1645	4034	2135	152	3095	2432	3179	4236	532	2443	1437	259	40	32	4814	1620	1908	1962	6318	29	610	202	1913	422	21	1892	1058	2370	200	444	107	1215	1154	1991	2253	646	5259	1298	1965	523	1260	2849	191	317	1475	1440	0	1940	950	1179	1483	637	2706	3437	900	1794	5678	2181	1058	475	7750	1997	983	671	4159	638	0	8376	6044	674	2062	1848	1005	3099	3329	63	2683	1113	16	1733	2165	806	125	49	962	2278	16	832	135	772	1419	1043	1113	1399	2014	1337	809	1643	1361	1908	695	1352	2328	1164	0	3016	324	10928	14	1267	1947	2347	474	1096	2867	633	1163	2082	59	285	1877	1324	1478	3676	0	2120	2389	107	684	623	3993	21	879	2060	1480	1436	284	1749	1708	2615	188	265	123	2724	280	842	4587	1685	3381	436	181	3181	613
ASV4	3337	4515	1026	1169	442	11	1587	429	2762	0	1072	100	2053	3991	827	1367	1980	3001	3642	2703	5100	6656	558	1363	183	2686	0	628	1637	184	1135	2409	1018	1224	337	179	5598	1914	1057	1356	1600	1475	863	3144	130	136	1020	1137	54	637	1095	4920	3521	995	3005	81	289	1574	208	2575	77	1129	1361	2257	101	5321	894	943	18	3438	1638	308	873	1559	1707	862	3130	2557	367	2993	1992	3108	1417	3540	1339	2684	11	1426	1979	1635	874	2505	824	1420	4589	870	38	1713	152	231	1447	361	1007	173	435	864	2787	546	3138	1373	694	482	36	262	1411	77	88	929	80	133	1759	362	248	397	1475	115	15	1973	393	21	364	1057	47	1615	435	2146	932	65	195	3855	309	373	8	1815	1001	682	629	328	1034	2711	895	1771	0	3181	716	0	920	2522	567	1036	1913
ASV5	121	120	4509	861	928	3759	1480	1218	987	475	1583	37	2171	972	1077	215	979	179	54	998	234	53	1462	541	1996	669	2145	144	139	627	502	821	999	533	756	696	349	2194	1233	88	401	1323	1756	145	371	590	949	168	532	813	224	531	1109	190	525	1667	1178	1118	72	611	263	506	906	1162	5069	189	78	268	6266	287	257	2711	846	505	231	267	2474	167	624	1351	193	1969	1007	82	1283	432	258	937	191	1498	613	13	2415	255	356	1680	3345	132	1657	508	1011	1393	1318	38	1016	983	14	464	906	622	1068	1892	4222	3432	1666	41	1205	171	791	196	857	1726	48	248	330	19	34	1474	129	481	455	0	2443	2477	1388	0	804	516	1160	0	2618	1831	1025	1316	279	892	319	85	68	33	2120	1972	122	466	359	574	137	2620	375	6295	1997
ASV6	0	2626	685	1839	1111	66	1685	2015	2652	23	3313	90	2515	2039	555	4799	2545	2061	4842	730	2306	3970	496	2386	1093	2198	9	4110	2252	1113	2135	586	623	898	4473	3050	2763	2186	3945	4262	2571	1733	1249	2247	1226	467	1379	1216	1639	3657	5531	3166	2694	1659	1640	475	7557	4446	1388	5307	1341	1971	3987	1657	108	6190	1915	4236	9	1789	2576	1831	1993	2111	1723	1266	1845	3043	1202	1697	6616	1750	1452	3170	2589	2665	0	770	1477	1588	1254	1941	2188	1371	210	1138	223	1355	782	810	1400	658	757	1334	444	1108	1837	2094	2114	355	681	673	443	352	946	22	48	1413	1200	2789	1183	530	307	528	787	1613	18	645	770	515	1399	973	12	777	187	1531	1054	3812	562	688	584	361	414	1590	2543	1637	908	469	2092	952	707	458	0	2031	744	1851	918	581	1725	1444	1777
ASV7	536	2531	373	2007	84	1285	1487	485	9	163	25	790	2195	866	669	797	1536	1746	1756	348	3569	5255	758	1205	829	1485	190	8133	3763	18	717	771	774	393	2353	1781	864	1347	664	3772	528	213	1195	2192	269	50	1261	0	734	1977	627	2435	598	65	3228	193	879	1290	2963	2846	195	851	919	888	188	5125	1048	4832	14	767	2623	2820	1025	1938	105	2257	1584	3081	1005	2588	7746	328	2049	0	1809	1657	0	553	194	515	3143	523	0	141	5723	480	0	1801	105	818	1693	512	254	1837	583	313	609	1275	530	491	235	790	1732	213	1133	313	0	247	983	1144	1846	675	112	966	670	1245	16	547	260	282	917	1223	2840	605	397	583	1039	667	298	329	1083	700	97	157	1760	72	1594	208	2745	1833	662	1343	0	4667	626	1554	379	1407	1808	408	2630
ASV8	33	42	438	255	187	3007	413	0	239	109	2162	12	1545	145	48	37	342	11	26	1120	229	149	40	61	792	95	117	95	18	247	22	253	967	26	630	99	153	1179	168	119	83	260	361	161	408	290	585	112	408	209	49	182	238	31	921	128	397	159	13	185	360	37	204	369	921	0	0	169	1760	92	55	712	163	123	123	30	18	16	113	152	30	695	122	63	178	103	2597	69	466	365	409	41	606	49	101	1053	1288	142	111	252	702	113	265	11	93	126	17	26	746	112	487	517	2694	1647	413	19	0	42	182	7	313	542	71	268	142	103	7	1060	60	44	133	0	554	373	66	40	139	107	151	160	635	233	1635	356	179	258	36	15	14	7	138	77	53	25	53	385	5	1954	117	193	297
ASV9	1740	546	32	0	1363	0	3015	2329	2290	2925	30	167	1040	3502	4631	3796	3015	2843	2523	509	0	119	0	2915	2243	833	2533	0	1569	0	715	0	20	717	0	915	327	705	0	3447	2393	667	5791	35	5198	3076	2899	44	200	3769	561	1837	1699	2563	0	29	51	2077	1497	316	153	814	1641	2400	622	11565	1113	0	5143	2686	53	127	1423	943	23	4321	40	3314	339	3730	3478	1278	3512	50	3428	600	29	2855	176	216	439	136	33	1092	0	916	0	2541	2426	2223	2778	1356	1979	1268	1130	0	992	1942	202	1198	1372	298	155	49	2538	25	19	2449	2002	1085	38	2199	277	3295	3090	1660	859	46	3588	2773	1041	3095	0	1475	1785	0	0	21	58	25	133	1291	0	133	2933	1231	0	0	1989	624	0	4704	69	3450	1249	2483	2788	350	213	641	2243
ASV10	44	0	0	0	573	0	1954	675	64	2266	0	19	508	565	1755	0	1044	91	62	2543	0	84	2781	227	1185	567	1616	0	369	2832	192	350	1123	991	22	488	274	1045	2210	133	285	1042	1852	623	2851	781	3559	649	351	1594	391	70	1422	101	0	1303	425	496	541	448	5677	1712	2233	1028	1316	35	81	2197	8046	1213	0	1956	2315	977	71	232	4785	653	5716	1700	466	45	2249	408	3126	612	5497	1107	60	99	494	14	419	0	115	373	103	37	197	73	216	110	220	17	513	2178	197	66	0	0	255	0	465	110	33	131	2259	0	55	132	138	186	124	51	40	50	0	220	43	18	1200	0	23	315	116	45	83	0	279	0	277	1291	0	1353	599	22	432	273	82	0	57	47	30	0	123	1277	0	254	103	148	39
