ta1	ta2	ta3	ta4	ta5	ta6	ta7
Unclassified Acidobacteria	k_Bacteria	p_Acidobacteria	c_Unclassified Acidobacteria	o_Unclassified Acidobacteria	f_Unclassified Acidobacteria	g_Unclassified Acidobacteria	s_Unclassified Acidobacteria
Actinobaculum sp.	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Actinobaculum	s_Actinobaculum sp.
Unclassified Actinobaculum	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Actinobaculum	s_Unclassified Actinobaculum
Actinomyces bouchesdurhonensis	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_Actinomyces bouchesdurhonensis
Actinomyces bowdenii	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_Actinomyces bowdenii
Actinomyces dentalis	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_Actinomyces dentalis
Actinomyces gerencseriae	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_Actinomyces gerencseriae
Actinomyces graevenitzii	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_Actinomyces graevenitzii
Actinomyces howellii	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_Actinomyces howellii
Actinomyces israelii	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_Actinomyces israelii
Actinomyces johnsonii	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_Actinomyces johnsonii
Actinomyces massiliensis	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_Actinomyces massiliensis
Actinomyces naeslundii	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_Actinomyces naeslundii
Actinomyces oris	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_Actinomyces oris
Actinomyces sp.	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_Actinomyces sp.
Actinomyces succiniciruminis	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_Actinomyces succiniciruminis
Actinomyces urogenitalis	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_Actinomyces urogenitalis
Actinomyces viscosus	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_Actinomyces viscosus
Actinomyces wuliandei	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_Actinomyces wuliandei
Unclassified Actinomyces	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_Unclassified Actinomyces
Unclassified Pauljensenia	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Pauljensenia	s_Unclassified Pauljensenia
Peptidiphaga gingivicola	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Peptidiphaga	s_Peptidiphaga gingivicola
Unclassified Peptidiphaga	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Peptidiphaga	s_Unclassified Peptidiphaga
Schaalia georgiae	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Schaalia	s_Schaalia georgiae
Schaalia odontolytica	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Schaalia	s_Schaalia odontolytica
Schaalia sp.	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Schaalia	s_Schaalia sp.
Unclassified Schaalia	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Schaalia	s_Unclassified Schaalia
Trueperella pyogenes	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Trueperella	s_Trueperella pyogenes
Unclassified Actinomycetaceae	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Actinomycetaceae	g_Unclassified Actinomycetaceae	s_Unclassified Actinomycetaceae
Unclassified Actinomycetales	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Actinomycetales	f_Unclassified Actinomycetales	g_Unclassified Actinomycetales	s_Unclassified Actinomycetales
Bifidobacterium breve	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Bifidobacteriales	f_Bifidobacteriaceae	g_Bifidobacterium	s_Bifidobacterium breve
Unclassified Bifidobacterium	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Bifidobacteriales	f_Bifidobacteriaceae	g_Bifidobacterium	s_Unclassified Bifidobacterium
Unclassified Gardnerella	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Bifidobacteriales	f_Bifidobacteriaceae	g_Gardnerella	s_Unclassified Gardnerella
Parascardovia denticolens	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Bifidobacteriales	f_Bifidobacteriaceae	g_Parascardovia	s_Parascardovia denticolens
Scardovia inopinata	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Bifidobacteriales	f_Bifidobacteriaceae	g_Scardovia	s_Scardovia inopinata
Scardovia wiggsiae	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Bifidobacteriales	f_Bifidobacteriaceae	g_Scardovia	s_Scardovia wiggsiae
Unclassified Scardovia	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Bifidobacteriales	f_Bifidobacteriaceae	g_Scardovia	s_Unclassified Scardovia
Unclassified Bifidobacteriaceae	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Bifidobacteriales	f_Bifidobacteriaceae	g_Unclassified Bifidobacteriaceae	s_Unclassified Bifidobacteriaceae
Unclassified Bifidobacteriales	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Bifidobacteriales	f_Unclassified Bifidobacteriales	g_Unclassified Bifidobacteriales	s_Unclassified Bifidobacteriales
Corynebacterium diphtheriae	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Corynebacteriaceae	g_Corynebacterium	s_Corynebacterium diphtheriae
Corynebacterium durum	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Corynebacteriaceae	g_Corynebacterium	s_Corynebacterium durum
Corynebacterium lowii	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Corynebacteriaceae	g_Corynebacterium	s_Corynebacterium lowii
Corynebacterium matruchotii	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Corynebacteriaceae	g_Corynebacterium	s_Corynebacterium matruchotii
Corynebacterium sp.	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Corynebacteriaceae	g_Corynebacterium	s_Corynebacterium sp.
Unclassified Corynebacterium	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Corynebacteriaceae	g_Corynebacterium	s_Unclassified Corynebacterium
Unclassified Corynebacteriaceae	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Corynebacteriaceae	g_Unclassified Corynebacteriaceae	s_Unclassified Corynebacteriaceae
Unclassified Dietzia	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Dietziaceae	g_Dietzia	s_Unclassified Dietzia
Unclassified Dietziaceae	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Dietziaceae	g_Unclassified Dietziaceae	s_Unclassified Dietziaceae
Mycobacterium sp.	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Mycobacteriaceae	g_Mycobacterium	s_Mycobacterium sp.
Mycobacterium tuberculosis	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Mycobacteriaceae	g_Mycobacterium	s_Mycobacterium tuberculosis
Unclassified Mycobacterium	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Mycobacteriaceae	g_Mycobacterium	s_Unclassified Mycobacterium
Mycobacteroides abscessus	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Corynebacteriales	f_Mycobacteriaceae	g_Mycobacteroides	s_Mycobacteroides abscessus
