Group	Family	Mean_Abundance	SE_Abundance	Prevalence
Case	<1%_Abundance	0.123487605949459	0.00581787682573294	671
Case	Absconditabacteria_(SR1)_[F-1]	1.3899232905669	0.219110725075425	5
Case	Actinomycetaceae	1.61292211919898	0.202379434487363	10
Case	Aerococcaceae	2.10115010321439	NA	1
Case	Burkholderiaceae	2.23831681705727	0.829664348334133	2
Case	Campylobacteraceae	2.16354481838447	0.407438025670098	13
Case	Carnobacteriaceae	8.39955729597277	0.541539817870841	79
Case	Corynebacteriaceae	3.57278465842904	2.28214728348918	6
Case	Flavobacteriaceae	6.84351013078255	0.785471113207733	77
Case	Fusobacteriaceae	4.01418546634638	0.459170236105708	34
Case	Gemellaceae	5.72595271965833	0.55795531449564	77
Case	Lachnospiraceae_[XIV]	1.66439654522265	0.251043705751128	4
Case	Leptotrichiaceae	6.667134482659	0.560644773321171	63
Case	Micrococcaceae	3.46509948350443	0.656289444768862	52
Case	Neisseriaceae	8.5955161100369	0.627906699752955	75
Case	Pasteurellaceae	13.8090942982158	0.831863754308591	81
Case	Porphyromonadaceae	5.17742559861916	0.430096117018796	62
Case	Prevotellaceae	9.09944071822869	0.6955071197217	77
Case	Ruminococcaceae	2.32832233345461	0.522808922297944	5
Case	Streptococcaceae	21.6897861186549	1.49319157116403	84
Case	Veillonellaceae	14.1131909940394	0.748360938366019	82
Control	<1%_Abundance	0.127010605800781	0.00632780656920274	614
Control	Absconditabacteria_(SR1)_[F-1]	2.36157914261525	0.424428905852445	2
Control	Actinomycetaceae	1.24582915624204	0.100840624965305	6
Control	Burkholderiaceae	2.00960397038757	0.527872116614164	5
Control	Campylobacteraceae	1.8401130200862	0.401180490909175	10
Control	Carnobacteriaceae	7.44092824063708	0.410454769926993	75
Control	Corynebacteriaceae	1.65080851861736	0.280350591713377	3
Control	Flavobacteriaceae	5.58193676434428	0.412842345523262	73
Control	Fusobacteriaceae	5.62506555483007	0.456074920807955	55
Control	Gemellaceae	5.29674710719093	0.437193109011947	68
Control	Lachnospiraceae_[XIV]	1.65573593165348	0.266681805966873	5
Control	Leptotrichiaceae	7.65545462822947	0.672837839563712	66
Control	Micrococcaceae	2.66825294076772	0.382623484360768	37
Control	Neisseriaceae	10.1379656950284	0.613309851024507	76
Control	Pasteurellaceae	15.859603310547	0.753740630459713	75
Control	Porphyromonadaceae	5.76936270159194	0.396433878146682	68
Control	Prevotellaceae	9.14181560513189	0.554486577337942	73
Control	Ruminococcaceae	2.29591443553264	0.398729512649697	9
Control	Streptococcaceae	17.1432645978829	1.28891731059284	77
Control	Veillonellaceae	11.7336243363092	0.674482051864657	76
