Group	Genus	Mean_Abundance	SE_Abundance	Prevalence
Case	<1%_Abundance	0.101332205029133	0.00418296786060307	943
Case	Abiotrophia	2.10115010321439	NA	1
Case	Absconditabacteria_(SR1)_[G-1]	1.3899232905669	0.219110725075425	5
Case	Actinomyces	1.61292211919898	0.202379434487363	10
Case	Aggregatibacter	1.54692340395435	0.311657675761627	5
Case	Alloprevotella	4.81687769311279	0.403686190474412	55
Case	Bergeyella	5.59838957858282	0.912617220999975	61
Case	Campylobacter	2.16354481838447	0.407438025670098	13
Case	Capnocytophaga	4.1372766025681	0.615015487581894	40
Case	Corynebacterium	3.57278465842904	2.28214728348918	6
Case	Fusobacterium	4.01418546634638	0.459170236105708	34
Case	Gemella	5.72595271965833	0.55795531449564	77
Case	Granulicatella	8.39955729597277	0.541539817870841	79
Case	Haemophilus	13.6768969295949	0.829947620053966	81
Case	Kingella	2.68350120363551	0.294318890292332	29
Case	Lachnoanaerobaculum	1.66613492147896	NA	1
Case	Lautropia	2.23831681705727	0.829664348334133	2
Case	Leptotrichia	6.2042014383067	0.577784398311743	60
Case	Neisseria	7.6817750950644	0.595045085975344	72
Case	Porphyromonas	5.17742559861916	0.430096117018796	62
Case	Prevotella	6.51244242227636	0.661073206048156	65
Case	Rothia	3.46509948350443	0.656289444768862	52
Case	Ruminococcaceae_[G-1]	2.27820807832923	0.543238203717358	5
Case	Sneathia	3.56023471086468	0.79340517001921	12
Case	Streptococcus	21.6897861186549	1.49319157116403	84
Case	Veillonella	14.0930650109445	0.746869513076017	82
Control	<1%_Abundance	0.109010637549132	0.00461323490680015	915
Control	Absconditabacteria_(SR1)_[G-1]	2.36157914261525	0.424428905852445	2
Control	Actinomyces	1.24582915624204	0.100840624965305	6
Control	Aggregatibacter	3.94588114923403	0.569410400184968	5
Control	Alloprevotella	4.95223835663598	0.471384465062822	61
Control	Bergeyella	3.50240609919705	0.353479157293527	66
Control	Campylobacter	1.8401130200862	0.401180490909175	10
Control	Capnocytophaga	3.90972587980068	0.444913826975277	41
Control	Corynebacterium	1.65080851861736	0.280350591713377	3
Control	Fusobacterium	5.62506555483007	0.456074920807955	55
Control	Gemella	5.29674710719093	0.437193109011947	68
Control	Granulicatella	7.44092824063708	0.410454769926993	75
Control	Haemophilus	15.5103722138094	0.716478097076425	75
Control	Kingella	1.67212862806146	0.293391496313226	9
Control	Lachnoanaerobaculum	1.67415652953047	0.595449069266047	2
Control	Lautropia	2.00960397038757	0.527872116614164	5
Control	Leptotrichia	6.96169820538833	0.666940856542029	65
Control	Neisseria	10.3658635938705	0.594098697989289	71
Control	Porphyromonas	5.76936270159194	0.396433878146682	68
Control	Prevotella	5.32445736780754	0.426250968832083	67
Control	Rothia	2.66825294076772	0.382623484360768	37
Control	Ruminococcaceae_[G-1]	2.53504382283094	0.477133280676665	7
Control	Sneathia	2.78318714786202	0.429332697983962	16
Control	Streptococcus	17.1432645978829	1.28891731059284	77
Control	Veillonella	11.7276798758117	0.673972609199755	76
