Group	Order	Mean_Abundance	SE_Abundance	Prevalence
Case	<1%_Abundance	0.112595888849992	0.00666110269781565	454
Case	Absconditabacteria_(SR1)_[O-1]	1.3899232905669	0.219110725075425	5
Case	Actinomycetales	4.04545650070341	0.84243818186773	39
Case	Bacillales	5.72595271965833	0.55795531449564	77
Case	Bacteroidales	12.7392500002392	0.728517898125508	81
Case	Burkholderiales	2.23831681705727	0.829664348334133	2
Case	Campylobacterales	2.16354481838447	0.407438025670098	13
Case	Clostridiales	2.08547218045596	0.305110941878868	12
Case	Corynebacteriales	3.57278465842904	2.28214728348918	6
Case	Flavobacteriales	6.84351013078255	0.785471113207733	77
Case	Fusobacteriales	8.23489736472785	0.706405852239212	69
Case	Lactobacillales	29.6986565827681	1.43871989877891	84
Case	Micrococcales	2.44491254185837	0.382076847834847	23
Case	Neisseriales	8.5955161100369	0.627906699752955	75
Case	Pasteurellales	13.8090942982158	0.831863754308591	81
Case	Veillonellales	14.1131909940394	0.748360938366019	82
Control	<1%_Abundance	0.120332632289712	0.00719006201107198	439
Control	Absconditabacteria_(SR1)_[O-1]	2.36157914261525	0.424428905852445	2
Control	Actinomycetales	2.96543390124074	0.499183080479206	28
Control	Bacillales	5.29674710719093	0.437193109011947	68
Control	Bacteroidales	14.036881667329	0.610432256227246	76
Control	Burkholderiales	2.00960397038757	0.527872116614164	5
Control	Campylobacterales	1.8401130200862	0.401180490909175	10
Control	Clostridiales	2.13747112324469	0.277087103843007	17
Control	Corynebacteriales	1.65080851861736	0.280350591713377	3
Control	Flavobacteriales	5.58193676434428	0.412842345523262	73
Control	Fusobacteriales	11.9369108515979	0.751864932120469	69
Control	Lactobacillales	24.4500453945323	1.30160714363637	77
Control	Micrococcales	2.13630244984669	0.242549488365609	17
Control	Neisseriales	10.1379656950284	0.613309851024507	76
Control	Pasteurellales	15.859603310547	0.753740630459713	75
Control	Veillonellales	11.7336243363092	0.674482051864657	76
