Group	Phylum	Mean_Abundance	SE_Abundance	Prevalence
Case	<1%_Abundance	0.11423584846784	0.0164615466630804	75
Case	Absconditabacteria_(SR1)	1.3899232905669	0.219110725075425	5
Case	Actinobacteria	3.96071576655601	0.564890836182544	68
Case	Bacteroidetes	18.6177305029834	0.867931638027894	84
Case	Firmicutes	49.2702917531029	1.52094344694978	84
Case	Fusobacteria	8.23489736472785	0.706405852239212	69
Case	Proteobacteria	22.3235328956608	1.15427687018001	82
Control	<1%_Abundance	0.126874504677394	0.0178304413040642	84
Control	Absconditabacteria_(SR1)	2.36157914261525	0.424428905852445	2
Control	Actinobacteria	2.87320710256649	0.307230195827782	54
Control	Bacteroidetes	19.4309954110036	0.653611186215868	76
Control	Firmicutes	41.5305199570089	1.33971511174963	77
Control	Fusobacteria	11.9369108515979	0.751864932120469	69
Control	Proteobacteria	26.2146261380432	0.972530485103775	77
