OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class	Order	Family
ASV1	Indv87	0.810074626865672	Indv87	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv127	0.788929517084857	Indv127	Control	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv117	0.656407877100732	Indv117	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv155	0.531992532247115	Indv155	Case	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv12	0.527698897819704	Indv12	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv92	0.509116071965822	Indv92	Control	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv140	0.501266419273134	Indv140	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv79	0.450307579434505	Indv79	Case	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV3	Indv116	0.437216338880484	Indv116	Case	Site2	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae
ASV1	Indv33	0.435459289705814	Indv33	Case	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv61	0.417290336781862	Indv61	Control	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV17	Indv138	0.406758583400919	Indv138	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV3	Indv76	0.38993185926853	Indv76	Control	Site2	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae
ASV1	Indv128	0.384859961658952	Indv128	Case	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv75	0.367795287876424	Indv75	Control	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv158	0.365647337478323	Indv158	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv136	0.355849835985907	Indv136	Case	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV3	Indv28	0.348286042315893	Indv28	Case	Site1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae
ASV1	Indv137	0.337713123729079	Indv137	Case	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv143	0.336661073825503	Indv143	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv69	0.326557058394752	Indv69	Case	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv97	0.32520920502092	Indv97	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv141	0.324019376181474	Indv141	Case	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv130	0.321917372207015	Indv130	Control	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV17	Indv4	0.320495778695886	Indv4	Case	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV3	Indv147	0.31496440854195	Indv147	Control	Site1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae
ASV1	Indv159	0.313799735545138	Indv159	Control	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv116	0.306704549647614	Indv116	Case	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv113	0.305078849721707	Indv113	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv151	0.304573051857628	Indv151	Control	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv120	0.301190165928243	Indv120	Control	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv11	0.294323215083912	Indv11	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv90	0.293963658761934	Indv90	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV4	Indv95	0.291231343283582	Indv95	Control	Site1	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae
ASV1	Indv30	0.290880872877769	Indv30	Case	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV1	Indv49	0.287659123055163	Indv49	Control	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV3	Indv68	0.286339241419745	Indv68	Case	Site2	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae
ASV4	Indv52	0.279251044680167	Indv52	Control	Site1	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae
ASV1	Indv133	0.276417838099855	Indv133	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
ASV4	Indv109	0.274218349564326	Indv109	Case	Site1	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae
ASV13	Indv6	0.273904885617378	Indv6	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
ASV4	Indv93	0.271485486624929	Indv93	Control	Site1	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae
ASV3	Indv139	0.269988545246277	Indv139	Control	Site1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae
ASV13	Indv23	0.269464210966932	Indv23	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
