OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class	Order
ASV1	Indv87	0.916417910447761	Indv87	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV1	Indv127	0.790064304627411	Indv127	Control	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV1	Indv117	0.659243220950613	Indv117	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV1	Indv92	0.627414405198869	Indv92	Control	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV1	Indv155	0.573616768499661	Indv155	Case	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV1	Indv140	0.54179183601343	Indv140	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV1	Indv12	0.532511912210618	Indv12	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV1	Indv79	0.525989051300863	Indv79	Case	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV1	Indv61	0.504677525863967	Indv61	Control	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV1	Indv33	0.467002262965871	Indv33	Case	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV1	Indv57	0.454817185471453	Indv57	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV1	Indv136	0.450309804398008	Indv136	Case	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV1	Indv68	0.443331980336445	Indv68	Case	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV3	Indv116	0.437216338880484	Indv116	Case	Site2	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales
ASV1	Indv11	0.431671339753749	Indv11	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV1	Indv120	0.430848753366345	Indv120	Control	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV1	Indv137	0.430236195839199	Indv137	Case	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV1	Indv128	0.42974704259597	Indv128	Case	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV1	Indv159	0.427815843250391	Indv159	Control	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV1	Indv75	0.42237478545795	Indv75	Control	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV1	Indv39	0.416368355110077	Indv39	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV17	Indv138	0.406758583400919	Indv138	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV1	Indv158	0.396015734043903	Indv158	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV1	Indv49	0.392503536067893	Indv49	Control	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV1	Indv90	0.392208192177394	Indv90	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales
ASV3	Indv76	0.38993185926853	Indv76	Control	Site2	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales
