OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum
ASV1	Indv87	0.936492537313433	Indv87	Case	Site1	Bacteria	Firmicutes
ASV1	Indv92	0.812985137493231	Indv92	Control	Site1	Bacteria	Firmicutes
ASV1	Indv140	0.807680980149614	Indv140	Case	Site1	Bacteria	Firmicutes
ASV1	Indv127	0.795612154835456	Indv127	Control	Site2	Bacteria	Firmicutes
ASV1	Indv33	0.774904170322819	Indv33	Case	Site2	Bacteria	Firmicutes
ASV1	Indv117	0.730229920610372	Indv117	Case	Site1	Bacteria	Firmicutes
ASV1	Indv44	0.685906763675559	Indv44	Case	Site2	Bacteria	Firmicutes
ASV1	Indv35	0.67812017984313	Indv35	Case	Site1	Bacteria	Firmicutes
ASV1	Indv158	0.676352408746775	Indv158	Case	Site1	Bacteria	Firmicutes
ASV1	Indv128	0.666058820778978	Indv128	Case	Site2	Bacteria	Firmicutes
ASV1	Indv11	0.662034215124548	Indv11	Case	Site1	Bacteria	Firmicutes
ASV1	Indv155	0.653470807875085	Indv155	Case	Site2	Bacteria	Firmicutes
ASV1	Indv12	0.653318573422535	Indv12	Case	Site1	Bacteria	Firmicutes
ASV1	Indv52	0.649027643844423	Indv52	Control	Site1	Bacteria	Firmicutes
ASV1	Indv93	0.641339404287611	Indv93	Control	Site1	Bacteria	Firmicutes
ASV1	Indv38	0.640089455005105	Indv38	Case	Site1	Bacteria	Firmicutes
ASV1	Indv137	0.638276239637103	Indv137	Case	Site2	Bacteria	Firmicutes
ASV1	Indv22	0.637151358597914	Indv22	Case	Site1	Bacteria	Firmicutes
ASV1	Indv79	0.634460183983295	Indv79	Case	Site2	Bacteria	Firmicutes
ASV1	Indv49	0.622996228194248	Indv49	Control	Site2	Bacteria	Firmicutes
ASV1	Indv143	0.622147651006711	Indv143	Case	Site1	Bacteria	Firmicutes
ASV1	Indv39	0.620681940218364	Indv39	Case	Site1	Bacteria	Firmicutes
ASV1	Indv109	0.603895438236802	Indv109	Case	Site1	Bacteria	Firmicutes
ASV1	Indv113	0.60349025974026	Indv113	Case	Site1	Bacteria	Firmicutes
ASV1	Indv136	0.600048596768315	Indv136	Case	Site2	Bacteria	Firmicutes
ASV1	Indv151	0.599955439202362	Indv151	Control	Site1	Bacteria	Firmicutes
ASV1	Indv90	0.592649625295144	Indv90	Case	Site1	Bacteria	Firmicutes
ASV1	Indv141	0.591268903591682	Indv141	Case	Site2	Bacteria	Firmicutes
ASV1	Indv47	0.589792987495184	Indv47	Case	Site2	Bacteria	Firmicutes
ASV1	Indv30	0.587452382072144	Indv30	Case	Site2	Bacteria	Firmicutes
ASV1	Indv20	0.586514102347576	Indv20	Case	Site1	Bacteria	Firmicutes
ASV1	Indv160	0.585551193863219	Indv160	Case	Site1	Bacteria	Firmicutes
ASV1	Indv61	0.582874752366278	Indv61	Control	Site2	Bacteria	Firmicutes
ASV3	Indv116	0.582229438028117	Indv116	Case	Site2	Bacteria	Proteobacteria
ASV1	Indv75	0.577188328912467	Indv75	Control	Site2	Bacteria	Firmicutes
ASV1	Indv57	0.56483801817578	Indv57	Case	Site1	Bacteria	Firmicutes
ASV1	Indv95	0.562220149253731	Indv95	Control	Site1	Bacteria	Firmicutes
ASV1	Indv84	0.559680058171242	Indv84	Control	Site1	Bacteria	Firmicutes
ASV1	Indv97	0.559466527196653	Indv97	Case	Site1	Bacteria	Firmicutes
ASV1	Indv112	0.558843140523421	Indv112	Case	Site1	Bacteria	Firmicutes
ASV1	Indv32	0.557760768956924	Indv32	Control	Site2	Bacteria	Firmicutes
ASV1	Indv159	0.551027767760548	Indv159	Control	Site1	Bacteria	Firmicutes
